Year,Translation,Roots,POS,Note
0,Spring,present+plant,N,_
0,Autumn,present+harvest,N,_
0,Summer,present+heat,N,_
0,Winter,present+cold,N,_


6000,December,time+GEN+dark,N,Ventiosh
6000,1 of winter/december 1,breath+flower,N,Rithwildrem
6000,2 of winter/december 2,death+berry,N,Galbery
6000,3 of winter/december 3,???,N,Brezgilly
6000,4 of winter/december 4,???,N,Stormprive
6000,5 of winter/december 5,breath+tool,N,Windhorn
6000,6 of winter/december 6,flowing+root,N,Mistroot
6000,7 of winter/december 7,morning+tool,N,Dawnthorn
6000,8 of winter/december 8,death+flower,N,Dappledviolet
6000,9 of winter/december 9,breath+tree,N,Windtwig
6000,10 of winter/december 10,breath+movement,N,Galespad
6000,11 of winter/december 11,showing+jealousy,N,Narcissus
6000,12 of winter/december 12,air+tree,N,Windelm
6000,13 of winter/december 13,flowing+tool,N,Mistifen
6000,14 of winter/december 14,showing+cold,N,Galblom
6000,15 of winter/december 15,breath+dream,N,Windrith
6000,16 of winter/december 16,dance+wisdom,N,Dansinath
6000,17 of winter/december 17,twilight+bloom,N,Twilibloom
6000,18 of winter/december 18,star+plant,N,Starsweed
6000,19 of winter/december 19,moon+beauty,N,Mooncheris
6000,20 of winter/december 20,breath+joining,N,Windcord
6000,21 of winter/december 21,night+tree,N,Nightroot
6000,22 of winter/december 22,twilight+???,N,Duspars
6000,23 of winter/december 23,twilight+food,N,Twilispoon
6000,24 of winter/december 24,day+flower,N,Daydaisy
6000,25 of winter/december 25,star+???,N,Starfis
6000,26 of winter/december 26,flowing+flower,N,Mistdande
6000,27 of winter/december 27,blue+breath,N,Windwoad
6000,28 of winter/december 28,vine+twilight,N,Twilifern
6000,29 of winter/december 29,moon+fire,N,Moonash
6000,30 of winter/december 30,breath+???,N,Galedibble
6000,January,water+cold+COM,N,Frohsten
6000,31 of winter/January 31,???,N,Frohstlef
6000,32 of winter/January 32,cold+ground,N,Wintersnap
6000,33 of winter/January 33,darkness+flower,N,Níghtbloom
6000,34 of winter/January 34,ice+berry,N,Icepear
