English,Tovian,IPA,Category
the person,la-yel,/lˈajˈel/,Basics
the city,lo-shithil,/lˈoʃˈiθ.il/,Basics
sees,fa mril,/fˈa mrˈil/,Basics
speaking,fethr,/fˈeθr/,Basics
The person sees.,la-yel fa mril,/lˈajˈel fˈa mrˈil/,Simple Sentence
The person sees in the city.,ila-yel fa mril itilo-shithil,/ˈilˈajˈel fˈa mrˈil ˈitˈilˈoʃˈiθ.il/,Simple Sentence
Do you speak?,lhan wa ofa fethr,/ɬˈan wˈa ˈof.a fˈeθr/,Question
the big person,la-yel mot,/lˈajˈel mˈot/,Attributive Noun
The big person sees in the city.,tilo-shithil mot la-yel fa mril,/tˈilˈoʃˈiθ.il mˈot lˈajˈel fˈa mrˈil/,Attributive Noun
"In the city, the person sees.",tilo-shithil la-yel fa mril,/tˈilˈoʃˈiθ.il lˈajˈel fˈa mrˈil/,Emphasis/Fronting
How did he speak?,si-lolhan ta fe fethr,/sˈilˈo.ɬan tˈa fˈe fˈeθr/,Question with Case
Where does he speak?,ti-lolhan ta fa fethr,/tˈilˈo.ɬan tˈa fˈa fˈeθr/,Question with Case
The friend is speaking in the daytime.,ila-yelalh sha fethr itulo-twimen,/ˈilˈajˈel.aɬ ʃˈa fˈeθr ˈitˈulˈotwˈim.en/,Simple Sentence
A friend is speaking in the daytime.,ela-yelalh sha fethr itulo-twimen,/ˈelˈajˈel.aɬ ʃˈa fˈeθr ˈitˈulˈotwˈim.en/,Simple Sentence
Friends speak in the daytime.,ele-yelalh ma fethr itulo-twimen,/ˈelˈejˈel.aɬ mˈa fˈeθr ˈitˈulˈotwˈim.en/,Simple Sentence
Your friend is speaking in the daytime.,ila-yelalh hiwa sha fethr itulo-twimen,/ˈilˈajˈel.aɬ ʃˈa fˈeθr ˈitˈulˈotwˈim.en/,Simple Sentence
Their friend is speaking in the daytime.,ila-yelalh hita sha fethr itulo-twimen,/ˈilˈajˈel.aɬ ʃˈa fˈeθr ˈitˈulˈotwˈim.en/,Simple Sentence
The child sees the moon.,ila-melhen fa mril iyulo-ay,/ˈilˈamˈeɬ.en fˈa mrˈil ˈijˈulˈoˈaj/,Simple Sentence
The mother is eating food.,ila-mar sha leth iyulo-syaleth,/ˈilˈamˈar ʃˈa lˈeθ ˈijˈulˈosjˈal.eθ/,Simple Sentence
The dog is running in the forest.,ila-anon sha sethr tilo-lethil,/ˈilˈaˈan.on ʃˈa sˈeθr tˈilˈolˈeθ.il/,Simple Sentence
The boat is going on the river.,ilo-sith sha kith itilo-shotl,/ˈilˈosˈiθ ʃˈa kˈiθ ˈitˈilˈoʃˈoƛ/,Simple Sentence
The father is watching the stars.,ila-pan sha mril iyulonane,/ˈilˈapˈan ʃˈa mrˈil ˈijˈulˈonˈanˈe/,Simple Sentence
We are thinking at night.,ne isha nalh itulo-lhil,/nˈe ˈiʃ.a nˈaɬ ˈitˈulˈoɬˈil/,Simple Sentence
The child is sleeping at home.,ila-melhen sha lheth itilo-yethil,/ˈilˈamˈeɬ.en ʃˈa ɬˈeθ ˈitˈilˈojˈeθ.il/,Simple Sentence
The father is carrying water.,ila-pan sha lhog yulo-sel,/ˈilˈapˈan ʃˈa ɬˈog jˈulˈosˈel/,Simple Sentence
The child is walking to the village.,ila-melhen sha nolh isulo-pel,/ˈilˈamˈeɬ.en ʃˈa nˈoɬ ˈisˈulˈopˈel/,Simple Sentence
The child is walking to a village.,ila-melhen sha nolh esulo-pel,/ˈilˈamˈeɬ.en ʃˈa nˈoɬ ˈesˈulˈopˈel/,Simple Sentence
The mother is writing this morning.,ila-mar sha for itulo-mloan,/ˈilˈamˈar ʃˈa fˈor ˈitˈulˈomlˈo.an/,Simple Sentence
The mother usually writes in the mornings.,ila-mar ma for etulo-mloan,/ˈilˈamˈar mˈa fˈor ˈetˈulˈomlˈo.an/,Simple Sentence
The council is speaking.,ilo-lhun sha fethr,/ˈilˈoɬˈun ʃˈa fˈeθr/,Simple Sentence
The child is carrying a knife.,ila-melhen sha lhog eyulo-nashith,/ˈilˈamˈeɬ.en ʃˈa ɬˈog ˈejˈulˈonˈaʃ.iθ/,Simple Sentence
The canoe is going on the lake.,ilo-sith sha kith tilo-tel,/ˈilˈosˈiθ ʃˈa kˈiθ tˈilˈotˈel/,Simple Sentence
The fog is covering the village.,ilo-tlurith sha munan iyulo-pel,/ˈilˈoƛˈur.iθ ʃˈa mˈun.an ˈijˈulˈopˈel/,Simple Sentence
The thunder is returning.,ilo-lrithesh sha gith,/ˈilˈolrˈiθ.eʃ ʃˈa gˈiθ/,Simple Sentence
The enemy is running to the desert.,ila-yey sha sethr sulo-tlil,/ˈilˈajˈej ʃˈa sˈeθr sˈulˈoƛˈil/,Simple Sentence
The father is teaching the child.,ila-pan sha lhad iyu-la-melhen,/ˈilˈapˈan ʃˈa ɬˈad ˈijˈulˈamˈeɬ.en/,Simple Sentence
We are making peace.,ne isha sil yu-le-tla,/nˈe ˈiʃ.a sˈil jˈulˈeƛˈa/,Simple Sentence
