Year,Word,Translation,Roots,POS,Note
-1,???,???,_,PLACEHOLDER,_
-1,i-,NOM/nomative case marker,_,CASE,_
-1,ju-,ACC/accusative case marker,_,CASE,_
-1,hi-,GEN/genitive case marker,_,CASE,_
-1,mi-,DAT/dative case marker,_,CASE,_
-1,ti-,LOC/locative case marker,_,CASE,_
-1,tu-,TEMP/temporal case marker,_,CASE,_
-1,si-,INS/instrumental case marker,_,CASE,_
-1,ɬu-,PUR/purpose case marker/for,_,CASE,_
-1,di-,ABL/ablative case marker/away from,_,CASE,_
-1,ji-,COM/comitative case marker/with/together with,_,CASE,_
-1,su-,ALL/allative case marker,_,CASE,_
-1,pu-,ESS/essive case marker,_,CASE,_
-1,-e,PL/plural marker,_,PLURAL,_
-1,la-,ANA/animate noun class,_,CLASS,_
-1,lo-,INANA/inanimate noun class,_,CLASS,_
-1,la-,ANI/animate noun class,_,CLASS,_
-1,lo-,INAN/inanimate noun class,_,CLASS,_
-1,le-,ABS/abstract noun class,_,CLASS,_
-1,wi-,SUB/subjunctive mood marker,_,MOOD,_
-1,se-,IMP/imperative mood marker,_,MOOD,_
-1,ko-,COND/conditional mood marker,_,MOOD,_
-1,kso-,COUNTER/counterfactual mood marker,_,MOOD,_
-1,ɬe-,OPT/optative mood marker,_,MOOD,_
-1,ƛo-,OBL/obligative mood marker,_,MOOD,_
-1,ʃo-,POT/potential mood marker,_,MOOD,_
-1,te-,REFL/reflexive voice marker,_,VOICE,_
-1,pa-,PASS/passive voice marker,_,VOICE,_
-1,mo-,MID/middle voice marker,_,VOICE,_
-1,ke-,CAUS/causative voice marker,_,VOICE,_
-1,ra-,REC/reciprocal voice marker,_,VOICE,_

-1,i-,DEF/definite marker,_,ARTICLE,_
-1,e-,INDEF/indefinite marker,_,ARTICLE,_




0,əmel,life,_,N,_
0,ətol,death/dying,_,N,_
0,arajeol,wisdom/truth,_,N,_
0,ahana,light,_,N,_
0,θirafa,wondering/curiosity,_,N,_
0,lore,action/doing,_,N,_
0,θile,place,_,N,_
0,driela,person,_,N,_
0,loθir,grasp/grabbing,_,N,_
0,nor,sea,_,N,_
0,nkoθir,time,_,N,_
0,ɬara,knowledge,_,N,_
0,ʃohe,possibility,_,N,_
0,teteʒah,sound,_,N,_
0,ðan,tool,_,N,_
0,tiel,thing,_,N,_
0,mot,big/large,_,N,_
0,ðul,top/height,_,N,_
0,zul,shallows/shortness,_,N,_
0,drenpok,flower,_,N,_
0,aklare,tree,_,N,_
0,ƛuna,joining,_,N,_
0,elis,possession,_,N,_
0,hara,pain,_,N,_
0,fete,showing,_,N,_
0,feðra,speech,_,N,_
0,iθir,thought,_,N,_
0,aleða,consumption/tasting/eating,_,N,_
0,amtorin,dog,_,N,_
0,vekh,killing,_,N,_
0,ƛaƛa,falling,_,N,_
0,gilore,conflict/fighting,_,N,_
0,kwil,movement,_,N,_
0,ʃoƛ,flow,_,N,_
0,aruja,feather,_,N,_
0,tomo,finger/root,_,N,_
0,aƛemo,weight,_,N,_
0,ɬeðel,trance/sleep,_,N,_
0,ʒilate,width,_,N,_
0,sildabore,stomach,_,N,_
0,hujʒa,throwing,_,N,_
0,hemmani,putting/placing,_,N,_
0,trelahet,person skin,_,N,_
0,amalur,hair/person hair,_,N,_
0,anatur,non-person hair/fur/hide/skin/scales,_,N,_
0,silahet,make/create,_,N,_
0,emərila,eye/sight/seeing/watching,_,N,_
0,nina,small,_,N,_
0,raiθ,air,_,N,_
0,keʃ,fire/burning,_,N,_
0,meron,stone/rock/earth,_,N,_
0,telaman,animal/creature/beast,_,N,_
0,ʃuʃa,ice/frost,_,N,_
0,tkuʃu,coldness/cold,_,N,_
0,ztel,water,_,N,_
0,kiθsa,reaching/arriving/traveling/going,_,N,_
0,noɬ,walking,_,N,_
0,otkele,lake,_,N,_
0,glar,woods,_,N,_
0,tid,in (obsolete),_,became locative "ti-",_
0,seθir,running/moving quickly/rushing,_,N,_
0,ʃoƛ,flowing,_,N,_
0,naɬ,thinking/believing/pondering,_,N,_
0,palor,stopping/ceasing,_,N,_
0,jaloran,beginning/starting,_,N,_
0,romat,sitting,_,N,_
0,reman,standing,_,N,_
0,raiʃel,kindness,_,N,_
0,wen,beauty,_,N,_
0,kana,change,_,N,_
0,heta,left,_,N,_
0,ɬoja,right,_,N,_
0,θera,up,_,N,_
