English,Tovian,IPA,Roots
action,lor, / lˈor / ,_

adventure,thim, / θˈim / ,going + unknown

air,rith, / rˈiθ / ,_

alertness,shith, / ʃˈiθ / ,_

ally,yelalh, / jˈel.aɬ / ,GEN + person + goodness

ancient,nan, / nˈan / ,_

animal,tlan, / ƛˈan / ,_

April 1,rithileshol, / riθ.il.ˈeʃ.ol / ,sky + fruit

April 11,lanatan, / lan.ˈat.an / ,twilight + face

April 12,ysotel, / jsˈot.el / ,moon + lake

April 13,mrilaglar, / mril.ˈagl.ar / ,sight + tree

April 14,rithilefethr, / riθ.il.ˈef.eθr / ,sky + speech

April 15,lrithitan, / lriθ.ˈit.an / ,storm + bird

April 16,nanatom, / nan.ˈat.om / ,star + root

April 17,shasel, / ʃˈas.el / ,ice + water

April 18,shagang, / ʃˈag.aŋ / ,ice + tooth

April 19,nanashol, / nan.ˈaʃ.ol / ,star + fruit

April 2,aysith, / ˈajs.iθ / ,moon + sharpness

April 20,nanamnan, / nan.ˈamn.an / ,star + covering

April 21,shimisel, / ʃim.ˈis.el / ,mystery + water

April 22,mralshanin, / mralʃ.ˈan.in / ,darkness + berry

April 23,femlor, / fˈeml.or / ,speaking + plant

April 24,lunum, / lˈun.um / ,sun + TEMP + present

April 25,rithiletlan, / riθ.il.ˈeƛ.an / ,sky + animal

April 26,mralsyalethashol, / mralsj.al.eθ.ˈaʃ.ol / ,darkness + food + fruit

April 27,yelathan, / jel.ˈaθ.an / ,person + tool

April 28,ysol, / jsˈol / ,moon + fruit

April 29,keluaglar, / kel.u.ˈagl.ar / ,branch + tree

April 3,lrithwen, / lrˈiθw.en / ,storm + beauty

April 30,rithilekwil, / riθ.il.ˈekw.il / ,sky + movement

April 4,dlelaglar, / dlel.ˈagl.ar / ,body + tree

April 5,lrithay, / lrˈiθ.aj / ,storm + feather

April 6,teshglar, / tˈeʃgl.ar / ,sound + woods

April 7,dremshol, / drˈemʃ.ol / ,flower + fruit

April 8,mraladlel, / mral.ˈadl.el / ,darkness + body

April 9,yeolaglar, / je.ol.ˈagl.ar / ,truth + tree

April,loelor, / lo.ˈel.or / ,two + plant

arm,kel, / kˈel / ,_

arriving,kith, / kˈiθ / ,_

August 1,mloanadrem, / mlo.an.ˈadr.em / ,morning + flower

August 10,nanalor, / nan.ˈal.or / ,star + action

August 11,lanathan, / lan.ˈaθ.an / ,twilight + tool

August 12,mloanatesh, / mlo.an.ˈat.eʃ / ,morning + sound

August 13,efan, / ˈef.an / ,sun + tool

August 14,glaretesh, / glar.ˈet.eʃ / ,tree + sound

August 15,holalor, / ħol.ˈal.or / ,sweet + action

August 16,melrem, / mˈelr.em / ,life + flower

August 17,keluthan, / kel.ˈuθ.an / ,branch + tool

August 18,varetlun, / var.ˈeƛ.un / ,value + joining

August 19,mralaysor, / mral.ˈajs.or / ,darkness + moon + plant

August 2,teshaglar, / teʃ.ˈagl.ar / ,sound + tree

August 20,thangethan, / θaŋ.ˈeθ.an / ,leaf + tool

August 21,lhenashotlodrem, / ɬen.aʃ.oƛ.ˈodr.em / ,dream + flowing + flower

August 22,munorhanatesh, / mun.orħ.an.ˈat.eʃ / ,dusk + sound

August 23,yelan, / jˈel.an / ,person + light

August 24,lhenaglar, / ɬen.ˈagl.ar / ,dream + tree

August 25,yselom, / jsˈel.om / ,moon + memory

August 26,keshaglar, / keʃ.ˈagl.ar / ,fire + tree

August 27,rithenalor, / riθ.en.ˈal.or / ,air + dream + plant

August 28,mralor, / mrˈal.or / ,darkness + blue

August 29,fidol, / fˈid.ol / ,sun + GEN + death

August 3,munanilor, / mun.an.ˈil.or / ,covering + plant

August 30,falnan, / fˈaln.an / ,leader + star

August 4,kelushith, / kel.ˈuʃ.iθ / ,branch + sharpness

August 5,mral, / mrˈal / ,darkness + ???

August 6,lhenathan, / ɬen.ˈaθ.an / ,dream + tool

August 7,aysdrem, / ˈajsdr.em / ,moon + flower

August 8,menrunan, / menr.ˈun.an / ,earth + hat

August 9,selrem, / sˈelr.em / ,water + flower

August,femthulef, / femθ.ˈul.ef / ,three + height + sun

Autumn,mlherlesh, / mɬˈerl.eʃ / ,present + harvest

badness,yal, / jˈal / ,_

balance,kar, / kˈar / ,_

beast,tlan, / ƛˈan / ,_

beauty,wen, / wˈen / ,_

becoming,kan, / kˈan / ,arriving + change

beginning,lon, / lˈon / ,_

behind,hul, / ħˈul / ,_

being,sil, / sˈil / ,_

believing,nalh, / nˈaɬ / ,_

berry,shanin, / ʃˈan.in / ,fruit + small

big,mot, / mˈot / ,_

bind,nalor, / nˈal.or / ,joining + action

bird,rithan, / rˈiθ.an / ,air + animal

birth,lhan, / ɬˈan / ,bringing + light

blood,drik, / drˈik / ,_

bloom,med, / mˈed / ,flower + showing

blue,dor, / dˈor / ,_

blueness,dor, / dˈor / ,_

boat,sith, / sˈiθ / ,water + traveling

body,adlel, / ˈadl.el / ,_

bottom,sul, / sˈul / ,_

bottom,thok, / θˈok / ,_

branch,kel, / kˈel / ,_

breath,lrith, / lrˈiθ / ,movement + COM + air

bringing,lhog, / ɬˈog / ,_

burning,kesh, / kˈeʃ / ,_

calm,tla, / ƛˈa / ,_

calmness,tla, / ƛˈa / ,_

canoe,sith, / sˈiθ / ,water + traveling

carrying,lhog, / ɬˈog / ,_

ceasing,pal, / pˈal / ,_

center,lhel, / ɬˈel / ,_

change,kan, / kˈan / ,_

child,melhen, / mˈeɬ.en / ,newness + dream

city,shithil, / ʃˈiθ.il / ,wakefulness + place

closeness,sor, / sˈor / ,_

closure,tam, / tˈam / ,_

cold,tush, / tˈuʃ / ,_

coldness,tush, / tˈuʃ / ,_

common bird,yalrith, / jˈalr.iθ / ,normality + air

commonness,yal, / jˈal / ,_

comparison,lad, / lˈad / ,_

completeness,om, / ˈom / ,_

confession,yeolfethr, / je.ˈolf.eθr / ,truth + speech

conflict,glor, / glˈor / ,_

consumption,leth, / lˈeθ / ,_

container,lhom, / ɬˈom / ,_

council,lhun, / ɬˈun / ,thinking + joining

covering,munan, / mˈun.an / ,_

create,sil, / sˈil / ,_

created thing,sil, / sˈil / ,_

creature,tlan, / ƛˈan / ,_

curiosity,thraf, / θrˈaf / ,_

cutting,shith, / ʃˈiθ / ,_

cycle,elakorim, / el.ak.ˈor.im / ,_

dance,lor, / lˈor / ,movement + action

dark,mral, / mrˈal / ,_

darkness,mral, / mrˈal / ,_

dawn,mloan, / mlˈo.an / ,first + light

day,lhom, / ɬˈom / ,_

day,twimen, / twˈim.en / ,_

daytime,twimen, / twˈim.en / ,_

death,dol, / dˈol / ,_

december 1,lrithdrem, / lrˈiθdr.em / ,breath + flower

december 10,lriskwil, / lrˈiskw.il / ,breath + movement

december 11,fedrlad, / fˈedrl.ad / ,showing + jealousy

december 12,rithaglar, / riθ.ˈagl.ar / ,air + tree

december 13,shotlan, / ʃˈoƛ.an / ,flowing + tool

december 14,fedetush, / fed.ˈet.uʃ / ,showing + cold

december 15,lrithen, / lrˈiθ.en / ,breath + dream

december 16,loreayeol, / lor.e.aj.ˈe.ol / ,dance + wisdom

december 17,lanam, / lˈan.am / ,twilight + bloom

december 18,nanalor, / nan.ˈal.or / ,star + plant

december 19,ayswen, / ˈajsw.en / ,moon + beauty

december 2,dolshanin, / dolʃ.ˈan.in / ,death + berry

december 20,lrithun, / lrˈiθ.un / ,breath + joining

december 21,lhilaglar, / ɬil.ˈagl.ar / ,night + tree

december 22,lan, / lˈan / ,twilight + ???

december 23,lanasyaleth, / lan.asj.ˈal.eθ / ,twilight + food

december 24,lhonrem, / ɬˈonr.em / ,day + flower

december 25,nan, / nˈan / ,star + ???

december 26,shotlodrem, / ʃoƛ.ˈodr.em / ,flowing + flower

december 27,doraklrith, / dor.ˈaklr.iθ / ,blue + breath

december 28,klumloremlan, / kluml.or.ˈeml.an / ,vine + twilight

december 29,ayskesh, / ˈajsk.eʃ / ,moon + fire

december 3,???, / ??? / ,???

december 30,lrith, / lrˈiθ / ,breath + ???

december 4,???, / ??? / ,???

december 5,lrithan, / lrˈiθ.an / ,breath + tool

december 6,shotltom, / ʃˈoƛt.om / ,flowing + root

december 7,mloanathan, / mlo.an.ˈaθ.an / ,morning + tool

december 8,dolrem, / dˈolr.em / ,death + flower

december 9,lrithaglar, / lriθ.ˈagl.ar / ,breath + tree

December,lotush, / lˈot.uʃ / ,one + cold

demonstrate,led, / lˈed / ,action + showing

denseness,lhul, / ɬˈul / ,_

desert,tlil, / ƛˈil / ,sand + place

discovery,sahyeol, / saħj.ˈe.ol / ,make + wisdom

dog,anon, / ˈan.on / ,_

doing,lor, / lˈor / ,_

down,thok, / θˈok / ,_

dream,lhen, / ɬˈen / ,_

dreambringer,anolhyel, / an.ˈoɬj.el / ,dream + COM + walking + person

dusk,munorhan, / mun.ˈorħ.an / ,last + light

dying,dol, / dˈol / ,_

ear,thek, / θˈek / ,_

earth,men, / mˈen / ,_

east,tal, / tˈal / ,_

eating,leth, / lˈeθ / ,_

eight,ath, / ˈaθ / ,_

eleven,myar, / mjˈar / ,_

empty,remi, / rˈem.i / ,_

end,par, / pˈar / ,_

enemy,yey, / jˈej / ,GEN + person + evil

eternal,tod, / tˈod / ,_

evening,munorhan, / mun.ˈorħ.an / ,last + light

evil,yal, / jˈal / ,_

exceeding,ngam, / ŋˈam / ,_

existence,sil, / sˈil / ,_

eye,mril, / mrˈil / ,_

face,tan, / tˈan / ,_

father,pan, / pˈan / ,_

feather,ay, / ˈaj / ,_

February 1,dremen, / drˈem.en / ,flower + stone

February 1,tushulor, / tuʃ.ˈul.or / ,cold + plant

February 10,tushuthan, / tuʃ.ˈuθ.an / ,cold + tool

February 11,thanramen, / θanr.ˈam.en / ,tool + darkness + stone

