English,Tovian,IPA,Category
the person,ani-person,/aniperson/,Basics
the city,inan-city,/inancity/,Basics
sees,aux_3_sim_prs sight,/aux_3_sim_prs sight/,Basics
speaking,speech,/speech/,Basics
The person sees.,ani-person aux_3_sim_prs sight,/aniperson aux_3_sim_prs sight/,Simple Sentence
The person sees in the city.,nomani-person aux_3_sim_prs sight deflocinan-city,/nomaniperson aux_3_sim_prs sight deflocinancity/,Simple Sentence
Do you speak?,int you aux_2_sim_prs speech,/int you aux_2_sim_prs speech/,Question
the big person,ani-person large,/aniperson large/,Attributive Noun
The big person sees in the city.,locinan-city large ani-person aux_3_sim_prs sight,/locinancity large aniperson aux_3_sim_prs sight/,Attributive Noun
"In the city, the person sees.",locinan-city ani-person aux_3_sim_prs sight,/locinancity aniperson aux_3_sim_prs sight/,Emphasis/Fronting
How did he speak?,ins-what he aux_3_sim_pst speech,/inswhat he aux_3_sim_pst speech/,Question with Case
Where does he speak?,loc-what he aux_3_sim_prs speech,/locwhat he aux_3_sim_prs speech/,Question with Case
The friend is speaking in the daytime.,nomani-friend aux_3_cnt_prs speech deftempinan-daytime,/nomanifriend aux_3_cnt_prs speech deftempinandaytime/,Simple Sentence
A friend is speaking in the daytime.,indefani-friend aux_3_cnt_prs speech deftempinan-daytime,/indefanifriend aux_3_cnt_prs speech deftempinandaytime/,Simple Sentence
Friends speak in the daytime.,indefabs-friend aux_3_hab_prs speech deftempinan-daytime,/indefabsfriend aux_3_hab_prs speech deftempinandaytime/,Simple Sentence
Your friend is speaking in the daytime.,nomani-friend your aux_3_cnt_prs speech deftempinan-daytime,/nomanifriend aux_3_cnt_prs speech deftempinandaytime/,Simple Sentence
Their friend is speaking in the daytime.,nomani-friend their aux_3_cnt_prs speech deftempinan-daytime,/nomanifriend aux_3_cnt_prs speech deftempinandaytime/,Simple Sentence
The child sees the moon.,nomani-child aux_3_sim_prs sight defaccinan-moon,/nomanichild aux_3_sim_prs sight defaccinanmoon/,Simple Sentence
The mother is eating food.,nomani-mother aux_3_cnt_prs eating defaccinan-food,/nomanimother aux_3_cnt_prs eating defaccinanfood/,Simple Sentence
The dog is running in the forest.,nomani-dog aux_3_cnt_prs running locinan-forest,/nomanidog aux_3_cnt_prs running locinanforest/,Simple Sentence
The boat is going on the river.,nominan-boat aux_3_cnt_prs going deflocinan-river,/nominanboat aux_3_cnt_prs going deflocinanriver/,Simple Sentence
The father is watching the stars.,nomani-father aux_3_cnt_prs watching defaccinan-starpl,/nomanifather aux_3_cnt_prs watching defaccinanstarpl/,Simple Sentence
The father is carrying a knife.,nomani-father aux_3_cnt_prs carrying indefaccinan-knife,/nomanifather aux_3_cnt_prs carrying indefaccinanknife/,Simple Sentence
We are thinking at night.,we aux_1_cnt_prs thinking deftempinan-night,/we aux_1_cnt_prs thinking deftempinannight/,Simple Sentence
The child is sleeping at home.,nomani-child aux_3_cnt_prs sleep deflocinan-home,/nomanichild aux_3_cnt_prs sleep deflocinanhome/,Simple Sentence
The father is carrying water.,nomani-father aux_3_cnt_prs carrying accinan-water,/nomanifather aux_3_cnt_prs carrying accinanwater/,Simple Sentence
The child is walking to the village.,nomani-child aux_3_cnt_prs walking defallinan-village,/nomanichild aux_3_cnt_prs walking defallinanvillage/,Simple Sentence
The child is walking to a village.,nomani-child aux_3_cnt_prs walking indefallinan-village,/nomanichild aux_3_cnt_prs walking indefallinanvillage/,Simple Sentence
The mother is writing this morning.,nomani-mother aux_3_cnt_prs writing deftempinan-morning,/nomanimother aux_3_cnt_prs writing deftempinanmorning/,Simple Sentence
The mother usually writes in the mornings.,nomani-mother aux_3_hab_prs writing indeftempinan-morning,/nomanimother aux_3_hab_prs writing indeftempinanmorning/,Simple Sentence
The council is speaking.,nominan-council aux_3_cnt_prs speaking,/nominancouncil aux_3_cnt_prs speaking/,Simple Sentence
The child is carrying a knife.,nomani-child aux_3_cnt_prs carrying indefaccinan-knife,/nomanichild aux_3_cnt_prs carrying indefaccinanknife/,Simple Sentence
The canoe is going on the lake.,nominan-canoe aux_3_cnt_prs going locinan-lake,/nominancanoe aux_3_cnt_prs going locinanlake/,Simple Sentence
The fog is covering the village.,nominan-fog aux_3_cnt_prs covering defaccinan-village,/nominanfog aux_3_cnt_prs covering defaccinanvillage/,Simple Sentence
The thunder is returning.,nominan-thunder aux_3_cnt_prs returning,/nominanthunder aux_3_cnt_prs returning/,Simple Sentence
The enemy is running to the desert.,nomani-enemy aux_3_cnt_prs running allinan-desert,/nomanienemy aux_3_cnt_prs running allinandesert/,Simple Sentence
The father is teaching the child.,nomani-father aux_3_cnt_prs teaching defacc-ani-child,/nomanifather aux_3_cnt_prs teaching defaccanichild/,Simple Sentence
We are making peace.,we aux_1_cnt_prs make acc-abs-peace,/we aux_1_cnt_prs make accabspeace/,Simple Sentence
The mother is speaking the truth.,nomani-mother aux_3_cnt_prs speaking defaccabs-truth,/nomanimother aux_3_cnt_prs speaking defaccabstruth/,Simple Sentence
The child is watching the sky.,nomani-child aux_3_cnt_prs watching defaccinan-sky,/nomanichild aux_3_cnt_prs watching defaccinansky/,Simple Sentence
Children watch the sky.,indefnomani-child aux_3_hab_prs watching defaccinan-sky,/indefnomanichild aux_3_hab_prs watching defaccinansky/,Simple Sentence
The child is speaking at night.,nomani-child aux_3_cnt_prs speech tempinan-night,/nomanichild aux_3_cnt_prs speech tempinannight/,Simple Sentence
The mother sees the city.,nomani-mother aux_3_sim_prs sight defaccinan-city,/nomanimother aux_3_sim_prs sight defaccinancity/,Simple Sentence
The father is going to the forest.,nomani-father aux_3_cnt_prs going defallinan-forest,/nomanifather aux_3_cnt_prs going defallinanforest/,Simple Sentence
The friend is walking in the city.,nomani-friend aux_3_cnt_prs walking deflocinan-city,/nomanifriend aux_3_cnt_prs walking deflocinancity/,Simple Sentence
The enemy sees the boat.,nomani-enemy aux_3_sim_prs sight defaccinan-boat,/nomanienemy aux_3_sim_prs sight defaccinanboat/,Simple Sentence
The council is watching the river.,nominan-council aux_3_cnt_prs watching defaccinan-river,/nominancouncil aux_3_cnt_prs watching defaccinanriver/,Simple Sentence
The dog is sleeping in the village.,nomani-dog aux_3_cnt_prs sleep deflocinan-village,/nomanidog aux_3_cnt_prs sleep deflocinanvillage/,Simple Sentence
The canoe is returning to the lake.,nominan-canoe aux_3_cnt_prs returning defallinan-lake,/nominancanoe aux_3_cnt_prs returning defallinanlake/,Simple Sentence
The fog is covering the forest.,nominan-fog aux_3_cnt_prs covering defaccinan-forest,/nominanfog aux_3_cnt_prs covering defaccinanforest/,Simple Sentence
We are speaking the truth.,we aux_1_cnt_prs speech defaccabs-truth,/we aux_1_cnt_prs speech defaccabstruth/,Simple Sentence
We are making peace at night.,we aux_1_cnt_prs make accabs-peace deftempinan-night,/we aux_1_cnt_prs make accabspeace deftempinannight/,Simple Sentence
The mother is teaching the child.,nomani-mother aux_3_cnt_prs teaching defaccani-child,/nomanimother aux_3_cnt_prs teaching defaccanichild/,Simple Sentence
A child is writing this morning.,indefani-child aux_3_cnt_prs writing deftempinan-morning,/indefanichild aux_3_cnt_prs writing deftempinanmorning/,Simple Sentence
Friends are running to the city.,indefabs-friend aux_3_cnt_prs running allinan-city,/indefabsfriend aux_3_cnt_prs running allinancity/,Simple Sentence
The child sees the moon and the mother is speaking.,"nomani-child aux_3_sim_prs sight defaccinan-moon, nomani-mother aux_3_cnt_prs speech","/nomanichild aux_3_sim_prs sight defaccinanmoon, nomanimother aux_3_cnt_prs speech/",Compound Sentences
The father is carrying water and the dog is running in the forest.,"nomani-father aux_3_cnt_prs carrying accinan-water, nomani-dog aux_3_cnt_prs running locinan-forest","/nomanifather aux_3_cnt_prs carrying accinanwater, nomanidog aux_3_cnt_prs running locinanforest/",Compound Sentences
The friend is speaking in the daytime but the child is not looking.,"nomani-friend aux_3_cnt_prs speech deftempinan-daytime, nomani-child aux_3_cnt_prs not-watching","/nomanifriend aux_3_cnt_prs speech deftempinandaytime, nomanichild aux_3_cnt_prs not-watching/",Compound Sentences
The mother is writing this morning and the father is teaching the child.,"nomani-mother aux_3_cnt_prs writing deftempinan-morning, nomani-father aux_3_cnt_prs teaching defaccani-child","/nomanimother aux_3_cnt_prs writing deftempinanmorning, nomanifather aux_3_cnt_prs teaching defaccanichild/",Compound Sentences
The canoe is going on the lake and the fog is covering the forest.,"nominan-canoe aux_3_cnt_prs going locinan-lake, nominan-fog aux_3_cnt_prs covering defaccinan-forest","/nominancanoe aux_3_cnt_prs going locinanlake, nominanfog aux_3_cnt_prs covering defaccinanforest/",Compound Sentences
The enemy is running to the desert and the council is watching the river.,"nomani-enemy aux_3_cnt_prs running allinan-desert, nominan-council aux_3_cnt_prs watching defaccinan-river","/nomanienemy aux_3_cnt_prs running allinandesert, nominancouncil aux_3_cnt_prs watching defaccinanriver/",Compound Sentences
We are speaking the truth and we are making peace.,"we aux_1_cnt_prs speech defaccabs-truth, we aux_1_cnt_prs make accabs-peace","/we aux_1_cnt_prs speech defaccabstruth, we aux_1_cnt_prs make accabspeace/",Compound Sentences
The person sees in the city and the friend is walking in the city.,"nomani-person aux_3_sim_prs sight deflocinan-city, nomani-friend aux_3_cnt_prs walking deflocinan-city","/nomaniperson aux_3_sim_prs sight deflocinancity, nomanifriend aux_3_cnt_prs walking deflocinancity/",Compound Sentences
The thunder is returning and the boat is going on the river.,"nominan-thunder aux_3_cnt_prs returning, nominan-boat aux_3_cnt_prs going deflocinan-river","/nominanthunder aux_3_cnt_prs returning, nominanboat aux_3_cnt_prs going deflocinanriver/",Compound Sentences
A friend is speaking in the daytime while children watch the river.,"indefani-friend aux_3_cnt_prs speech deftempinan-daytime, indefnomani-child aux_3_hab_prs watching defaccinan-river","/indefanifriend aux_3_cnt_prs speech deftempinandaytime, indefnomanichild aux_3_hab_prs watching defaccinanriver/",Compound Sentences
"I would have made peace, if the council had spoken.","i aux_1_ctr_prf_pst make accabs-peace, nominan-council aux_3_ctr_prf_pst speech","/i aux_1_ctr_prf_pst make accabspeace, nominancouncil aux_3_ctr_prf_pst speech/",Complex Sentences
"If the child slept at home, the mother would speak.","nomani-child aux_3_ctr_sim_pst sleep deflocinan-home, nomani-mother aux_3_ctr_sim_pst speech","/nomanichild aux_3_ctr_sim_pst sleep deflocinanhome, nomanimother aux_3_ctr_sim_pst speech/",Complex Sentences
"When the thunder returns, the boat goes off the river.","nominan-thunder aux_3_hab_prs returning, nominan-boat aux_3_hab_prs going defablinan-river","/when nominanthunder aux_3_hab_prs returning, nominanboat aux_3_hab_prs going defablinanriver/",Complex Sentences
"We would have spoken the truth, if we had seen the city.","we aux_1_ctr_prf_pst speech defaccabs-truth, we aux_1_ctr_prf_pst sight defaccinan-city","/we aux_1_ctr_prf_pst speech defaccabstruth, we aux_1_ctr_prf_pst sight defaccinancity/",Complex Sentences
"If the enemy were flying through the desert, the father would be teaching the child to hide.","nomani-enemy aux_3_ctr_cnt_prs flying locinan-desert, nomani-father aux_3_ctr_cnt_prs teaching defaccani-child aux_3_ctr_sim_prs hiding","/nomanienemy aux_3_ctr_cnt_prs flying locinandesert, nomanifather aux_3_ctr_cnt_prs teaching defaccanichild aux_3_ctr_sim_prs hiding/",Complex Sentences
While the mother is writing this morning; the child is walking to the village.,nomani-mother aux_3_cnt_prs writing deftempinan-morning; nomani-child aux_3_cnt_prs walking defallinan-village,/nomanimother aux_3_cnt_prs writing deftempinanmorning; nomanichild aux_3_cnt_prs walking defallinanvillage/,Complex Sentences
