english,tovian,tovian_ipa,gloss
nom,i-,ˈi,NOM
nomative_case_marker,i-,ˈi,nomative case marker
acc,yu-,jˈu,ACC
accusative_case_marker,yu-,jˈu,accusative case marker
gen,hi-,hˈi,GEN
genitive_case_marker,hi-,hˈi,genitive case marker
dat,mi-,mˈi,DAT
dative_case_marker,mi-,mˈi,dative case marker
loc,ti-,tˈi,LOC
locative_case_marker,ti-,tˈi,locative case marker
temp,tu-,tˈu,TEMP
temporal_case_marker,tu-,tˈu,temporal case marker
ins,si-,sˈi,INS
instrumental_case_marker,si-,sˈi,instrumental case marker
pur,lhu-,ɬˈu,PUR
purpose_case_marker,lhu-,ɬˈu,purpose case marker
for,lhu-,ɬˈu,for
abl,di-,dˈi,ABL
ablative_case_marker,di-,dˈi,ablative case marker
away_from,di-,dˈi,away from
com,yi-,jˈi,COM
comitative_case_marker,yi-,jˈi,comitative case marker
with,yi-,jˈi,with
together_with,yi-,jˈi,together with
all,su-,sˈu,ALL
allative_case_marker,su-,sˈu,allative case marker
ess,pu-,pˈu,ESS
essive_case_marker,pu-,pˈu,essive case marker
pl,-e,ˈe,PL
plural_marker,-e,ˈe,plural marker
ani,la-,lˈa,ANI
animate_noun_class,la-,lˈa,animate noun class
inan,lo-,lˈo,INAN
inanimate_noun_class,lo-,lˈo,inanimate noun class
abs,le-,lˈe,ABS
abstract_noun_class,le-,lˈe,abstract noun class
sub,wi-,wˈi,SUB
subjunctive_mood_marker,wi-,wˈi,subjunctive mood marker
imp,se-,sˈe,IMP
imperative_mood_marker,se-,sˈe,imperative mood marker
cond,ko-,kˈo,COND
conditional_mood_marker,ko-,kˈo,conditional mood marker
counter,kso-,ksˈo,COUNTER
counterfactual_mood_marker,kso-,ksˈo,counterfactual mood marker
opt,lhe-,ɬˈe,OPT
optative_mood_marker,lhe-,ɬˈe,optative mood marker
obl,tlo-,ƛˈo,OBL
obligative_mood_marker,tlo-,ƛˈo,obligative mood marker
pot,sho-,ʃˈo,POT
potential_mood_marker,sho-,ʃˈo,potential mood marker
refl,te-,tˈe,REFL
reflexive_voice_marker,te-,tˈe,reflexive voice marker
pass,pa-,pˈa,PASS
passive_voice_marker,pa-,pˈa,passive voice marker
mid,mo-,mˈo,MID
middle_voice_marker,mo-,mˈo,middle voice marker
caus,ke-,kˈe,CAUS
causative_voice_marker,ke-,kˈe,causative voice marker
rec,ra-,rˈa,REC
reciprocal_voice_marker,ra-,rˈa,reciprocal voice marker
def,i-,ˈi,DEF
definite_marker,i-,ˈi,definite marker
indef,e-,ˈe,INDEF
indefinite_marker,e-,ˈe,indefinite marker
life,mel,mˈel,life
death,dol,dˈol,death
dying,dol,dˈol,dying
wisdom,yeol,jˈe.ol,wisdom
truth,yeol,jˈe.ol,truth
light,an,ˈan,light
wondering,thuraf,θˈur.af,wondering
curiosity,thuraf,θˈur.af,curiosity
action,lor,lˈor,action
doing,lor,lˈor,doing
place,thil,θˈil,place
person,yel,jˈel,person
